Nama Mobil,Mobil,Mobil Driver,Mobil Driver BBM,Kategori
Agya,5.000.000,10.000.000,14.500.000,CITY CAR
Brio,5.000.000,10.000.000,14.500.000,CITY CAR
Sigra,5.000.000,10.000.000,14.500.000,CITY CAR
Calya,5.000.000,10.000.000,14.500.000,CITY CAR
Pick Up L 300,5.000.000,10.000.000,14.500.000,REGULER / PICK UP
Pick Up Suzuki,5.000.000,10.000.000,14.500.000,REGULER / PICK UP
Pick Up Grandmax,5.000.000,10.000.000,14.500.000,REGULER / PICK UP
Blind Van Granmax,5.000.000,10.000.000,14.500.000,REGULER / PICK UP
L300 Box,5.000.000,10.000.000,14.500.000,REGULER / PICK UP
CDD Box,5.000.000,10.000.000,16.000.000,REGULER / PICK UP
Grandmax Box,5.000.000,10.000.000,16.000.000,REGULER / PICK UP
Ertiga,6.000.000,11.000.000,15.500.000,REGULER / PICK UP
Avanza,6.000.000,11.000.000,15.500.000,REGULER / PICK UP
Xenia,6.000.000,11.000.000,15.500.000,REGULER / PICK UP
Raize,7.000.000,12.000.000,16.500.000,REGULER / PICK UP
Yaris,7.000.000,12.000.000,16.500.000,REGULER / PICK UP
All New Avanza,7.000.000,12.000.000,16.500.000,REGULER / PICK UP
All New Xenia,7.000.000,12.000.000,16.500.000,REGULER / PICK UP
All New Ertiga,7.000.000,12.000.000,16.500.000,REGULER / PICK UP
Mobilio,7.000.000,12.000.000,16.500.000,REGULER / PICK UP
Rush,7.000.000,12.000.000,16.500.000,REGULER / PICK UP
Terios,7.000.000,12.000.000,16.500.000,REGULER / PICK UP
City Hatchback,7.000.000,12.000.000,16.500.000,REGULER / PICK UP
Creta,7.000.000,12.000.000,16.500.000,REGULER / PICK UP
Wuling Cortez,7.000.000,12.000.000,16.500.000,REGULER / PICK UP
Wuling Confero,7.000.000,12.000.000,16.500.000,REGULER / PICK UP
Stargazer,7.000.000,12.000.000,16.500.000,REGULER / PICK UP
Xpander,7.000.000,12.000.000,16.500.000,REGULER / PICK UP
Innova Reborn,10.350.000,15.350.000,21.350.000,PREMIUM / CDE
Elf Short,10.350.000,15.350.000,21.350.000,MINI BUS
CDE Bak ,12.000.000,17.000.000,29.000.000,SUV / HIACE / ELF
Innova Zenix,12.800.000,17.800.000,23.800.000,PREMIUM / CDE
Hiace Commuter,16.100.000,21.100.000,27.100.000,SUV / HIACE / ELF
CDD Bak ,16.000.000,21.000.000,33.000.000,MEDIUM BUS / CDD / FUSO
Fortuner,18.400.000,23.400.000,29.400.000,SUV / HIACE / ELF
Pajero,18.400.000,23.400.000,29.400.000,SUV / HIACE / ELF
Voxy,18.400.000,23.400.000,29.400.000,SUV / HIACE / ELF
Ranger,18.400.000,23.400.000,29.400.000,SUV / HIACE / ELF
Hilux,18.400.000,23.400.000,29.400.000,SUV / HIACE / ELF
Triton,18.400.000,23.400.000,29.400.000,SUV / HIACE / ELF
Elf Long,18.400.000,23.400.000,29.400.000,SUV / HIACE / ELF
Elf Giga,18.400.000,23.400.000,29.400.000,SUV / HIACE / ELF
Camry,18.400.000,29.000.000,38.000.000,SUV / HIACE / ELF
Hiace Premio,19.500.000,24.500.000,30.500.000,SUV / HIACE / ELF
Medium Bus,20.700.000,25.700.000,37.700.000,MEDIUM BUS / CDD / FUSO
Hiace Commuter VVIP,27.600.000,32.600.000,38.600.000,HIGHT PREMIUM
Vellfire,29.900.000,34.900.000,43.900.000,HIGHT PREMIUM
Alphard Transformer,29.900.000,34.900.000,43.900.000,HIGHT PREMIUM
Truk Bak,30.000.000,35.000.000,50.000.000,BIG BUS / TRONTON / LUXURY
Truk Box,30.000.000,35.000.000,50.000.000,BIG BUS / TRONTON / LUXURY
Trailer Bak,34.500.000,39.500.000,54.500.000,BIG BUS / TRONTON / LUXURY
Trailer Box,34.500.000,39.500.000,54.500.000,BIG BUS / TRONTON / LUXURY
Alphard Facelift,34.500.000,39.500.000,48.500.000,HIGHT PREMIUM
Palisade,34.500.000,39.500.000,48.500.000,HIGHT PREMIUM
Mercy,34.500.000,39.500.000,51.500.000,HIGHT PREMIUM
BMW,34.500.000,39.500.000,51.500.000,HIGHT PREMIUM
Big Bus,34.500.000,39.500.000,54.500.000,BIG BUS / TRONTON / LUXURY
Hiace Premio VVIP,34.500.000,39.500.000,45.500.000,HIGHT PREMIUM
Mercy Sprinter,57.500.000,62.500.000,74.500.000,HIGHT PREMIUM
Medium Bus VIP Luxury,57.500.000,62.500.000,74.500.000,HIGHT PREMIUM
Big Bus VIP Luxury,80.000.000,85.000.000,100.000.000,BIG BUS / TRONTON / LUXURY
New Alphard Hybrid,46.000.000,51.000.000,63.000.000,HIGHT PREMIUM
Land Cruiser,165.000.000,170.000.000,182.000.000,BIG BUS / TRONTON / LUXURY
